Key,Polish
Dialogue.General_01_ShrinkRay,"Czy to prawda, że promień zmniejszający...jest gotowy?"
Dialogue.General_02_SoldierInsideRocket,A więc... to możliwe? Czy można by wpakować wszystkich żołnierzy wewnątrz rakiety?
Dialogue.General_03_RocketHitTarget,"A rakieta... po tym jako żołnierze się katapultują uderzy w cel?"
Dialogue.General_04_ASingleRocket,Jedna rakieta zarówno do wojny nuklearnej oraz inwazji. Doskonale!
Dialogue.General_005_IThinkInFewHours,Za kilka godzin - musimy dotrzeć do biura.
Dialogue.General_06_YesAtTheConNex,"Tak, w biurach CON-NEX w Moskwie. Ulica Lenina 14 B."
Dialogue.General_07_SillyDoctorWhatOdds,"Niepoważny doktorze. Jakie jest prawdopodobieństwo, że ktoś ukradł promień zmniejszający z Twojego przedziału i podsłuchuje nas chowając się za ladą."
Dialogue.General_08_Da,Da.
Dialogue.General_09_MissAudrey,PANI AUDREY SMOOTHSPY!
Dialogue.General_10_YouThinkIDontNotice_cut,"Myślisz, że nie zauważyłem co pogrywasz? Widziałem! Wszystko widziałem!"
Dialogue.General_11_YouRuinedEverything,Zniszczyłaś WSZYSTKO.
Dialogue.General_12_EierkopfVacationToCommunistCuba,Wysyłasz Eierkopfa na wakacje do komunistycznej Kuby! Teraz na pewno nie uda nam się zdarzyć na czas!
Dialogue.General_13_EierkopfToLondon,"Wysyłasz Eierkopfa by szpiegować na drani w Londynie!"
Dialogue.General_14_EierkopfToNukePlace,"Wysyłasz Eierkopfa dokładnie w to samo miejsce, które mam zaraz zrównać z ziemią!"
Dialogue.General_15_RuinedNextBestSeller,Zrujnowałaś mojego nadchodzącego bestsellera! Moją spuściznę!
Dialogue.General_16_ShreddedTheOriginalNotes,Zniszczyłaś oryginalne wpisy do mojej autobiografii! Okropna kobieto! Teraz co najwyżej doznam zaniku inwencji twórczej!
Dialogue.General_17_BurnedPrivateWeedStash,Spaliłaś nawet moją prywatną działkę ziela! JAK ŚMIESZ?!
Dialogue.General_18_MyPlansWillNotBeInterrupted,"Moje plany NIE zostaną pokrzyżowane przez jakiegoś nadpobudliwego szpiega! Jeśli zrujnujesz mój plan, ja zniszczę Amerykę!"
Dialogue.General_19_SilenceGoodbyeSmoothspy,"CISZA! Do widzenia, Smoothspy. Wysyłam moich najlepszych agentów, by się z Tobą rozprawili. A teraz pora wystrzelić bombę jądrową!"
Dialogue.General_20_ItsBoltankovits,Tu Boltankovits! DO WIDZENIA!
Dialogue.General_21_HeyYouThere,Hej! TY TAM!
Dialogue.General_22_WhatAreYouDoing,Co robisz?!
Dialogue.General_23_Guards,Ochrona!
Dialogue.General_24_BliniRecipe,
