Key,Polish
Dialogue.eierkopf_000_-1_YesIStashedThePrototype,"Tak, schowałem prototyp w moim przedziale."
Dialogue.eierkopf_000_TechnicallyYes,"Praktycznie? Tak. No chyba, że jest to jeden z tych napakowanych nadludzi, których chciałeś, bym wyhodował w laboratorium."
Dialogue.eierkopf_001_YesThePayloadWillHit,"Tak, ładunek trafi w cel. Żołnierze mogą zostać rozmieszczeni w drodze do drugorzędnego celu."
Dialogue.eierkopf_002_WhatTimeAreWeAtMoscow,"Tak w ogóle, która godzina jest teraz w Moskwie? Pociąg się spóźnia."
Dialogue.eierkopf_003_IsEverythingSetup,Wszystko gotowe? Mam na myśli w biurze CON-NEX.
Dialogue.eierkopf_004_ISureHopeNoOneEavesdrops,"Mam nadzieję, że nikt nie podsłuchuje naszej rozmowy i nie dowie się co planujemy."
Dialogue.eierkopf_005_HahaOhWellGoodTalk,"Haha. No cóż, miło było porozmawiać. Nacieszmy się posiłkiem i nie skupiajmy się na otoczeniu."
Dialogue.eierkopf_006_WhereDidIPutThoseSafetyGoggleWipes,
Dialogue.eierkopf_007_AdjustingForVelocity,
Dialogue.eierkopf_008_Gibberish1,
Dialogue.eierkopf_009_Gibberish2,
Dialogue.eierkopf_010_NowWhatShouldIPaintTheRocket,
Dialogue.eierkopf_011_ToomanyPeople,
Dialogue.eierkopf_012_WhatIsThis,
Dialogue.eierkopf_013_WaitWhatIsThat,
Dialogue.eierkopf_014_OhNoNoYouStoleMyShrinkRay,
Dialogue.eierkopf_015_DontEvenThinkAboutIt,
Dialogue.eierkopf_016_IDontWantToGetShrinkedNoo,
Dialogue.eierkopf_017_GuardsGuards,
Dialogue.eierkopf_018_HelpSchnell,
Dialogue.eierkopf_019_Scream,
Dialogue.eierkopf_020_Scream,
Dialogue.eierkopf_021_NoNotIntoThePurse,
Dialogue.eierkopf_022_NoYouCannotDoThisIWillPay,
Dialogue.eierkopf_023_Nooo,
Dialogue.eierkopf_024_NoStupidSpyCondemned,
Dialogue.eierkopf_025_WaitTillBalakovitsHears,
Dialogue.eierkopf_026_IWillGetYouForThis,
